time,nallocs,datafile
4.102172433,560203755,/Users/miles/dev/research/butterpy/bench/data/julia_79.npy
3.8771823955,565808734,/Users/miles/dev/research/butterpy/bench/data/julia_80.npy
4.2898578165,621858367,/Users/miles/dev/research/butterpy/bench/data/julia_81.npy
3.9124359535,550395065,/Users/miles/dev/research/butterpy/bench/data/julia_82.npy
4.029064538,553197549,/Users/miles/dev/research/butterpy/bench/data/julia_83.npy
3.9654575735,539185143,/Users/miles/dev/research/butterpy/bench/data/julia_84.npy
4.016259064,560203754,/Users/miles/dev/research/butterpy/bench/data/julia_85.npy
4.103826426,586827349,/Users/miles/dev/research/butterpy/bench/data/julia_86.npy
4.001025161,585426090,/Users/miles/dev/research/butterpy/bench/data/julia_87.npy
4.187698418,592432299,/Users/miles/dev/research/butterpy/bench/data/julia_88.npy
4.3324759415,578419887,/Users/miles/dev/research/butterpy/bench/data/julia_89.npy
4.1078543575,593833537,/Users/miles/dev/research/butterpy/bench/data/julia_90.npy
3.833888089,544790100,/Users/miles/dev/research/butterpy/bench/data/julia_91.npy
4.112915274,565808720,/Users/miles/dev/research/butterpy/bench/data/julia_92.npy
4.126064174,567209957,/Users/miles/dev/research/butterpy/bench/data/julia_93.npy
4.1719924985,533580177,/Users/miles/dev/research/butterpy/bench/data/julia_94.npy
4.063491132,567209979,/Users/miles/dev/research/butterpy/bench/data/julia_95.npy
3.9009077755,539185144,/Users/miles/dev/research/butterpy/bench/data/julia_96.npy
4.022959617,570012442,/Users/miles/dev/research/butterpy/bench/data/julia_97.npy
4.0706795,564407476,/Users/miles/dev/research/butterpy/bench/data/julia_98.npy
4.037395563,570012438,/Users/miles/dev/research/butterpy/bench/data/julia_99.npy
3.862142465,530777690,/Users/miles/dev/research/butterpy/bench/data/julia_100.npy
