idx,  act, range, tcyc, nspots, fmax
111, 0.65, 39.98,  5.5,   105, 1.99e-03
112, 9.87,  6.90,  9.7,   128, 1.80e-03
113, 1.02, 60.39,  9.9,   215, 2.07e-03
114, 7.52, 28.64,  8.4,  2224, 7.48e-03
115, 0.52, 78.57, 13.1,     4, 7.09e-04
116, 0.39, 56.36, 12.6,     2, 8.72e-05
117, 0.17, 13.34,  2.7,    66, 1.00e-03
118, 0.80, 69.65,  1.1,   166, 4.93e-03
119, 9.03, 53.33,  1.5,  1658, 3.68e-02
120, 0.86, 69.04, 33.8,    82, 1.57e-03
121, 0.12, 43.10,  8.9,    22, 6.80e-04
122, 2.05, 77.68,  1.8,   322, 1.11e-02
123, 0.11, 13.41, 17.5,     0,
124, 0.40, 56.79,  1.3,    80, 3.19e-03
125, 9.04, 26.64, 17.4,    93, 5.49e-04
126, 0.14, 39.27,  9.9,     4, 2.44e-04
127, 0.49, 77.12, 16.9,     4, 3.47e-05
128, 0.10, 45.99, 19.0,     0,
129, 2.37, 31.45,  1.4,   470, 1.00e-02
130, 0.12, 45.67,  2.1,    17, 9.27e-04
131, 0.36, 64.92, 16.3,   119, 2.45e-03
132, 0.11, 52.10,  9.3,    19, 1.46e-03
133, 0.15, 27.36, 35.4,     6, 3.41e-04
134, 8.23, 51.81,  2.4,  1956, 3.53e-02
135, 5.97, 30.49, 33.1,     6, 2.91e-04
136, 2.06, 58.40,  1.5,   386, 1.15e-02
137, 9.11, 21.70,  6.3,   554, 7.13e-03
138, 0.83,  9.44,  2.2,   200, 1.23e-03
139, 0.14, 36.68,  1.2,    38, 9.13e-04
140, 4.07, 11.85,  6.5,   116, 4.60e-03
141, 1.88, 25.22,  3.2,   241, 4.84e-04
142, 2.56, 37.92,  7.7,    66, 1.84e-03
143, 8.88, 67.12, 17.7,    34, 1.69e-03
144, 2.04, 13.27,  2.1,   243, 1.09e-03
145, 2.29, 34.18,  5.5,    74, 2.02e-03
146, 0.47, 51.31,  7.9,   133, 2.05e-03
147, 3.92, 37.75, 11.3,    29, 1.46e-03
148, 0.41, 22.30, 34.3,     0,
149, 0.10, 57.71, 11.3,     2, 1.52e-04
150, 8.74, 37.44,  1.1,  2195, 2.19e-02
151, 0.35, 32.02,  7.0,    46, 9.61e-04
152, 5.44, 36.48,  3.9,   484, 4.67e-03
153, 0.94, 22.33, 28.2,   126, 2.95e-03
154, 6.88, 45.64, 12.3,    41, 8.19e-04
155, 1.64, 17.15,  2.4,   374, 5.29e-03
156, 7.47, 30.03,  9.2,    80, 1.99e-03
157, 0.60, 52.13, 15.9,   180, 3.65e-03
158, 9.05, 17.51, 29.9,   328, 1.26e-03
159, 4.65, 48.37, 38.1,   734, 2.95e-02
160, 7.69, 28.98, 16.8,    24, 1.87e-03
161, 7.90, 61.79,  1.1,  1554, 4.51e-02
162, 2.27, 51.28,  2.4,   691, 2.75e-02
163, 0.54, 16.29,  1.4,    97, 3.17e-04
164, 0.45, 26.20, 13.3,     1, 0.00e+00
165, 0.21, 28.22, 19.1,     0,
166, 0.19, 36.59, 33.2,    38, 6.43e-04
167, 0.10, 74.16,  6.9,     8, 1.74e-04
168, 0.16, 82.02,  4.7,     7, 5.78e-04
169, 1.07, 70.49, 19.5,     4, 6.68e-05
170, 8.68, 67.92,  1.9,  1977, 3.79e-02
171, 0.75, 14.63, 13.6,     1, 0.00e+00
172, 0.64, 25.46,  2.4,    85, 3.53e-03
173, 1.29,  9.60,  2.1,   264, 2.83e-03
174, 0.79, 42.51,  1.7,   166, 3.55e-03
175, 1.62, 46.21,  5.9,   221, 1.50e-03
176, 0.92, 70.94, 13.4,    27, 9.81e-04
177, 0.22, 24.88, 10.5,     3, 2.55e-04
178, 0.27, 57.50, 26.0,     0,
179, 2.82, 71.10,  3.4,   199, 1.01e-02
180, 0.11,  8.35, 30.9,     0,
181, 1.79, 23.77,  6.7,    36, 9.98e-04
182, 0.55, 49.54, 29.0,   181, 5.55e-03
183, 1.75, 64.52,  7.1,    41, 5.11e-04
184, 0.58,  5.03,  8.7,     7, 4.37e-04
185, 1.00, 65.85,  2.9,   218, 6.75e-03
186, 2.16, 15.13,  8.2,    28, 7.76e-04
187, 3.41,  9.96,  9.6,    38, 1.69e-03
188, 0.34, 39.19,  1.8,    63, 2.92e-03
189, 3.43, 33.30,  5.5,    86, 2.24e-03
190, 0.65,  9.55,  1.7,   116, 7.49e-03
191, 0.14,  8.24, 17.5,    36, 9.05e-04
192, 0.24, 42.76,  1.0,    57, 6.19e-04
193, 0.85, 23.03,  2.8,    99, 5.68e-04
194, 3.11, 41.02,  2.4,   920, 6.14e-03
195, 1.15, 44.77, 17.3,     3, 9.74e-05
196, 0.27, 12.28, 36.3,     3, 4.88e-04
197, 0.48, 55.29,  2.3,    52, 2.01e-03
198, 0.98, 27.09, 24.9,    94, 1.96e-03
199, 1.86, 25.48,  1.5,   368, 1.06e-02
200, 0.32, 13.50, 18.9,     2, 4.77e-05
201, 0.37, 31.02, 29.8,     0,
202, 2.46, 13.46, 25.2,     7, 2.97e-04
203, 3.14, 43.85,  6.3,    97, 5.63e-03
204, 0.12, 12.55,  2.2,    31, 4.39e-04
205, 0.97,  7.61, 30.4,     1, 4.17e-06
206, 0.27, 23.34, 14.4,     1, 0.00e+00
207, 0.73, 45.40,  1.7,   144, 4.40e-03
208, 0.17, 58.02,  2.1,    24, 3.76e-04
209, 0.70, 35.45,  2.4,   172, 4.55e-03
210, 2.03, 63.94, 12.3,   150, 2.73e-03
211, 0.31, 11.49, 28.6,    42, 5.04e-04
212, 2.75, 68.89,  2.5,   323, 9.85e-03
213, 0.48,  8.15,  7.4,   145, 1.48e-03
214, 0.93, 30.49,  1.9,   154, 2.66e-03
215, 0.65, 17.63,  2.5,   225, 5.61e-03
216, 0.87, 11.71,  1.4,   192, 4.91e-03
217, 7.94, 19.82, 34.6,     5, 2.35e-04
218, 1.36, 33.81,  1.0,   352, 2.72e-03
219, 0.15, 56.20, 12.2,     7, 4.57e-04
220, 4.39, 25.50,  1.8,   647, 2.47e-02
221, 0.15,  5.28, 22.7,     1, 4.18e-05
222, 7.18, 62.80, 35.8,     7, 9.11e-05
223, 0.12, 12.31,  2.5,     7, 1.16e-04
224, 0.21, 50.15, 21.2,     0,
225, 5.91, 22.38,  1.6,  1085, 9.17e-03
226, 0.21,  9.14, 13.0,     0,
227, 3.83, 39.33, 39.5,   546, 4.25e-03
228, 0.86, 78.98,  5.0,    34, 8.74e-04
229, 1.13, 31.96, 10.2,    13, 9.13e-04
230, 1.19, 41.71, 18.7,   372, 2.69e-03
231, 0.54, 16.23, 12.7,     4, 2.68e-04
232, 0.16, 23.67, 36.1,     8, 5.72e-04
233, 0.23, 42.62, 19.5,     3, 4.09e-04
234, 2.98, 60.17,  1.7,   507, 1.77e-02
235, 2.47, 22.98, 10.2,    32, 5.73e-04
236, 2.82, 77.72,  4.1,   855, 2.37e-02
237, 5.37,  8.58,  7.8,    83, 1.43e-03
238, 3.43, 31.07,  8.4,   698, 1.03e-02
239, 6.68, 13.43, 15.4,   651, 3.83e-03
240, 0.21, 11.14, 26.9,    43, 8.62e-04
241, 9.25, 21.30,  3.3,   861, 3.97e-03
242, 1.37,  5.58,  4.5,    63, 1.20e-03
243, 6.25, 61.15,  1.3,  1252, 4.91e-02
244, 0.13, 16.70,  6.6,     1, 2.79e-05
245, 4.26, 68.90, 30.8,    20, 1.21e-03
246, 1.57,  5.80, 11.4,   407, 1.38e-02
247, 0.51,  7.73,  3.7,    33, 6.87e-04
248, 0.31, 45.87,  4.9,    80, 2.89e-03
249, 0.11, 21.54,  9.0,    17, 5.64e-04
250, 6.99, 22.86,  3.2,   747, 2.32e-02
251, 0.31, 15.73,  8.4,     8, 1.92e-04
252, 7.77, 53.50, 26.8,    15, 5.59e-04
253, 5.50, 17.74, 35.5,  1168, 2.15e-03
254, 2.32, 18.26,  3.6,   715, 2.95e-03
255, 6.80, 56.38,  1.1,  1315, 3.77e-02
256, 0.19, 43.20,  8.6,    30, 9.26e-04
257, 0.14, 23.85,  4.1,    14, 2.24e-04
258, 0.12, 64.32,  2.1,    21, 7.62e-04
259, 0.35, 54.95,  2.2,    42, 1.10e-03
260, 0.11,  6.72, 23.6,     0,
261, 5.04, 41.15, 15.4,   328, 6.08e-03
262, 1.24, 16.64, 18.1,    47, 7.36e-04
