idx,  act, range, tcyc, nspots, fmax
500, 1.08, 44.33, 21.4,     1, 9.86e-05
501, 0.27, 35.43,  3.1,    26, 3.62e-04
502, 1.80, 28.75, 28.5,     1, 7.14e-05
503, 0.33, 34.09,  1.0,    59, 1.48e-03
504, 1.13, 58.42, 16.3,    12, 1.37e-04
505, 2.38, 46.61,  5.3,   730, 1.42e-02
506, 8.15, 73.22,  2.5,   894, 2.23e-02
507, 0.69,  6.79,  7.4,   214, 3.03e-03
508, 3.81, 30.76,  1.4,   714, 1.37e-02
509, 0.58, 33.97, 39.6,     0,
510, 0.35, 47.41,  7.1,    43, 4.20e-04
511, 0.34, 30.37, 13.7,     3, 9.50e-05
512, 1.78, 46.17, 26.1,   449, 6.93e-03
513, 1.25,  9.28, 15.3,    14, 3.50e-04
514, 0.15,  5.39, 15.8,     1, 2.94e-05
515, 0.94, 46.80,  6.0,    31, 9.13e-04
516, 5.80, 66.75,  2.9,   521, 1.19e-02
517, 4.64, 49.82, 31.8,    68, 2.23e-03
518, 0.87, 61.08,  8.3,   231, 4.76e-03
519, 0.19, 39.13,  1.4,    46, 7.78e-04
520, 1.14, 34.55,  4.0,   283, 5.62e-03
521, 2.75, 67.94, 36.4,     4, 5.85e-05
522, 3.17,  6.15, 19.1,     7, 4.13e-04
523, 0.67, 60.21,  2.3,   199, 3.93e-03
524, 5.99,  8.73,  1.1,  1235, 3.19e-02
525, 6.03, 66.91,  1.7,   956, 1.43e-02
526, 0.75, 36.16,  6.4,    19, 4.32e-04
527, 0.10, 36.49, 21.4,    21, 4.22e-04
528, 0.27, 33.05,  6.7,    42, 6.02e-04
529, 0.17, 10.34,  5.8,     7, 4.08e-04
530, 8.17,  8.39,  2.9,   749, 2.69e-02
531, 2.09, 33.65,  3.5,   137, 3.57e-03
532, 2.19, 44.84, 12.9,   222, 6.72e-03
533, 5.58, 68.17,  9.4,   672, 1.79e-02
534, 0.50, 25.65,  3.0,    42, 1.03e-03
535, 0.35, 18.98,  1.7,    44, 5.88e-04
536, 0.19, 37.05,  2.0,    28, 4.64e-04
537, 3.58, 41.87,  3.6,   413, 5.87e-03
538, 0.68, 36.16,  8.8,    10, 3.60e-04
539, 4.26, 44.74,  1.5,   791, 2.32e-02
540, 6.26, 21.00,  1.7,  1889, 5.79e-02
541, 8.64, 18.79, 28.0,   579, 1.24e-02
542, 0.19, 16.52,  5.3,    10, 2.78e-04
543, 5.28, 30.90,  1.3,  1037, 2.02e-02
544, 6.89, 21.75,  5.5,   485, 1.59e-02
545, 9.75,  6.97, 15.4,   711, 1.15e-02
546, 2.04, 47.61,  1.3,   451, 1.22e-02
547, 1.97, 19.00, 30.2,   451, 3.47e-03
548, 0.19, 57.01,  4.2,    50, 1.81e-03
549, 0.68, 11.99, 29.4,    87, 9.88e-04
550, 1.12, 28.08, 22.8,     2, 0.00e+00
551, 0.22, 45.99,  5.5,    14, 6.73e-04
552, 3.35, 58.01,  3.3,   232, 6.31e-03
553, 0.12, 21.20,  5.0,    33, 6.32e-04
554, 0.27, 44.58,  2.8,    23, 1.86e-03
555, 2.80, 33.66,  1.2,   713, 1.88e-02
556, 0.22, 12.20,  7.8,     2, 4.28e-05
557, 3.26, 42.94,  1.7,   544, 1.22e-02
558, 8.65, 47.96, 14.3,    37, 1.11e-03
559, 1.59, 68.34, 13.5,   340, 1.17e-02
560, 2.23, 46.82,  3.6,   135, 1.31e-03
561, 0.24, 25.19,  5.4,     9, 6.78e-04
562, 4.31, 65.10,  6.3,    97, 3.21e-03
563, 3.79, 29.14,  4.7,   459, 1.24e-02
564, 0.42, 46.06,  8.7,     3, 9.66e-05
565, 4.52, 64.03,  9.5,   620, 1.67e-02
566, 2.48, 57.63,  1.1,   493, 2.65e-02
567, 0.82, 14.23,  2.6,   262, 5.40e-03
568, 0.27, 17.43,  1.1,    48, 4.35e-04
569, 2.17, 34.38, 39.2,     2, 1.17e-04
570, 0.67, 19.09,  1.1,   155, 3.57e-03
571, 3.35, 22.90,  2.8,  1019, 2.73e-02
572, 0.10, 17.25,  8.6,     1, 9.18e-06
573, 4.73, 29.61,  5.3,   411, 3.51e-03
574, 5.55, 51.15,  3.8,   300, 1.72e-03
575, 1.36,  9.75,  1.0,   421, 6.03e-03
576, 3.51, 36.60,  1.5,   976, 1.87e-02
577, 0.51, 20.22, 25.9,     0,
578, 0.66, 69.11,  9.5,     5, 2.54e-04
579, 1.95,  9.73, 19.5,    13, 4.16e-04
580, 0.16, 36.23, 30.2,     1, 8.07e-05
581, 1.54, 16.75,  6.4,   150, 7.34e-03
582, 1.19, 30.60, 11.6,   243, 1.77e-03
583, 1.25, 10.61,  4.6,    44, 1.18e-03
584, 0.22, 36.52,  9.1,     9, 2.90e-04
585, 0.92, 16.92, 19.0,     3, 2.62e-04
586, 0.16, 42.05,  4.2,    10, 2.81e-04
587, 3.28, 26.46,  1.1,   642, 6.97e-03
588, 4.00, 21.22,  4.6,   645, 4.65e-03
589, 0.19, 73.07, 15.0,     1, 0.00e+00
590, 3.62, 67.10,  4.0,   816, 1.52e-02
591, 2.13, 43.90,  1.9,   409, 5.80e-03
592, 0.84, 35.26,  8.0,    15, 9.08e-04
593, 1.72, 19.85,  3.3,   505, 8.87e-03
594, 3.03, 13.93,  2.0,   401, 9.14e-03
595, 0.79, 34.04,  3.2,    62, 1.39e-03
596, 0.86, 33.51, 11.9,   266, 3.35e-03
597, 0.10, 12.91,  3.7,    10, 2.08e-04
598, 0.29, 15.82,  8.3,    26, 1.34e-03
599, 1.49, 13.24,  2.0,   219, 5.01e-03
600, 3.92, 29.46,  3.6,  1226, 2.37e-02
601, 9.78, 48.99,  4.0,  1231, 5.15e-03
602, 4.43, 60.26,  4.4,   215, 6.00e-03
603, 0.71, 30.67,  1.6,   219, 1.54e-03
604, 3.25, 40.48,  1.2,   859, 1.71e-02
605, 0.59, 41.04,  1.3,   105, 2.83e-03
606, 4.75, 23.71,  1.7,   849, 1.56e-02
607, 0.11, 33.26,  1.7,    28, 2.64e-04
608, 0.78, 37.08,  9.1,     6, 1.78e-04
609, 0.13, 20.50,  1.0,    23, 7.19e-04
610, 0.29, 44.88,  1.9,    41, 1.11e-03
611, 0.54, 25.22, 30.1,     0,
612, 0.20, 18.65, 34.3,    46, 2.80e-03
613, 3.49, 71.15, 23.8,     4, 6.45e-05
614, 2.57, 46.95,  9.6,   635, 5.52e-03
615, 1.12, 22.37,  2.0,   233, 4.90e-03
616, 0.11, 24.62,  6.4,     3, 9.22e-05
617, 8.24, 15.94, 18.0,    29, 7.93e-04
618, 0.21, 62.66,  2.0,    46, 9.56e-04
619, 0.30, 34.06, 19.2,     7, 4.10e-04
620, 0.36, 65.44,  6.3,   106, 6.96e-04
621, 5.73, 48.55,  5.4,  1482, 3.78e-02
622, 0.21, 68.82,  2.2,    34, 1.24e-03
623, 2.39, 47.24,  1.7,   368, 6.57e-03
624, 2.17, 13.12,  1.5,   410, 7.49e-03
625, 0.20, 38.47, 17.8,     2, 4.01e-05
626, 1.48, 29.92, 23.9,    24, 5.99e-04
627, 1.25, 60.02, 33.8,     1, 7.99e-05
628, 0.31, 12.71,  4.2,    17, 5.60e-04
629, 5.18,  8.97, 23.4,     7, 6.81e-05
630, 0.61, 29.39,  2.3,   134, 4.55e-03
631, 3.29, 48.13, 36.5,   119, 7.72e-04
632, 3.69, 61.25, 18.8,    26, 3.66e-04
633, 0.41, 42.01, 17.7,     9, 1.92e-04
634, 0.17, 73.01,  4.2,    25, 8.40e-04
635, 9.24, 53.79,  5.2,   338, 1.54e-02
636, 0.57,  7.11, 10.4,     7, 4.86e-04
637, 1.57, 58.17,  5.9,   295, 8.76e-03
638, 0.16, 34.66, 33.5,     0,
639, 2.56, 12.49,  1.7,   424, 1.09e-02
640, 0.30, 12.79,  2.7,    29, 1.02e-03
641, 0.10, 64.14, 22.1,    10, 1.69e-04
642, 0.26, 45.19, 10.9,    11, 1.22e-04
643, 2.69, 38.30,  1.2,   671, 2.01e-02
644, 1.61, 57.72, 39.9,   425, 1.25e-02
645, 2.39, 22.07, 21.3,     3, 5.51e-05
646, 3.36, 43.78, 15.3,   877, 9.85e-03
647, 3.11, 43.86,  4.2,   171, 2.86e-03
648, 0.55, 37.95,  4.5,    17, 7.13e-04
649, 0.38, 35.04,  1.3,   103, 3.82e-03
650, 0.22, 16.03,  2.0,    31, 1.32e-03
651, 0.13, 40.56, 32.8,     0,
652, 7.17, 17.97,  2.2,   980, 1.93e-02
653, 0.18, 46.64, 12.2,     0,
654, 3.61, 26.09,  2.9,   493, 2.99e-03
655, 0.20, 36.64, 29.4,    17, 4.70e-04
656, 0.27, 26.58, 28.4,     0,
657, 1.01, 47.99,  3.6,    73, 1.79e-03
658, 1.98, 34.89,  3.0,   614, 8.45e-03
659, 0.60, 21.94,  9.9,    13, 4.46e-04
660, 4.19, 23.40,  2.9,   672, 1.16e-02
661, 3.72, 31.22,  2.4,   466, 1.70e-02
662, 1.13, 18.33,  5.1,    63, 1.88e-03
663, 0.23, 24.75, 13.8,     9, 3.32e-04
664, 0.20,  9.17,  5.8,    52, 1.83e-03
665, 0.40, 12.25,  2.5,    67, 2.38e-03
666, 3.60, 26.88, 34.8,   784, 2.17e-02
667, 4.31,  8.97, 39.2,     2, 1.54e-05
668, 0.51, 20.03, 12.2,     5, 2.72e-04
669, 0.13, 58.10,  4.4,     6, 2.70e-04
670, 4.96, 28.84,  5.6,   143, 2.39e-03
671, 0.11, 22.66, 21.9,    12, 5.54e-04
672, 5.47, 27.49,  4.9,   911, 2.23e-02
673, 0.38, 76.71,  1.1,    90, 1.58e-03
674, 0.70, 38.73, 12.0,     3, 3.29e-04
675, 1.38, 17.01,  4.2,   272, 4.62e-03
676, 9.08,  9.25, 13.1,    59, 1.74e-03
677, 3.92,  8.23,  1.3,   746, 2.45e-02
678, 0.15, 33.33,  5.0,     7, 3.67e-04
679, 1.67, 12.99, 28.6,   493, 1.24e-02
680, 0.10, 19.05, 18.7,    13, 4.73e-04
681, 0.24, 17.62, 14.9,    12, 4.28e-04
682, 0.60, 49.23, 30.0,     1, 0.00e+00
683, 2.94, 41.47,  4.5,   763, 1.73e-02
684, 0.62, 32.16,  1.4,   135, 4.06e-03
685, 0.84,  5.94,  2.1,   126, 1.58e-03
686, 1.99, 24.18,  2.2,   246, 9.60e-03
687, 0.34, 16.06, 10.0,     9, 2.21e-04
688, 0.19, 67.91,  8.5,     4, 1.29e-04
689, 4.05, 58.87, 10.7,    64, 7.45e-04
690, 2.20,  8.95,  1.2,   524, 1.79e-02
691, 3.67, 43.35, 31.5,     7, 7.93e-05
692, 4.00, 63.56,  1.5,   734, 1.46e-02
693, 0.85, 29.43, 20.0,     2, 7.91e-05
694, 5.54, 37.06,  2.3,   657, 2.40e-02
695, 2.77, 68.71, 24.9,   147, 7.27e-04
696, 0.30, 25.99, 14.4,    41, 2.26e-03
697, 7.96, 64.84,  6.8,  1854, 1.19e-02
698, 2.46, 43.22, 38.4,   470, 5.99e-03
699, 1.99, 15.89,  1.5,   369, 7.05e-03
700, 3.50, 25.34,  6.3,    86, 2.63e-03
701, 1.65, 18.10, 16.8,   202, 4.62e-03
702, 0.56, 23.40,  1.3,   112, 3.27e-03
703, 4.44, 18.34,  3.8,   269, 1.97e-03
704, 0.61, 18.58,  5.5,    24, 1.09e-03
705, 0.12,  9.19,  1.3,    30, 1.11e-03
706, 0.20, 62.92, 29.9,    16, 7.04e-04
707, 0.92, 27.39,  3.5,    51, 2.46e-03
708, 5.47, 68.14,  8.8,   396, 8.19e-03
709, 0.19, 22.91,  3.8,    11, 5.64e-04
710, 1.43, 40.02, 15.2,   388, 3.73e-03
711, 1.83,  6.05,  1.0,   321, 7.10e-03
712, 0.52, 37.19, 10.8,     3, 1.45e-04
713, 5.06,  5.27, 31.0,   889, 2.73e-03
714, 3.64, 52.01,  7.8,   145, 4.96e-03
715, 0.94, 39.72,  4.0,   209, 1.52e-03
716, 0.68, 54.12,  3.2,   143, 3.17e-03
717, 2.77, 49.74,  2.6,   260, 3.90e-03
718, 2.37,  7.76,  7.4,   442, 5.28e-03
719, 6.60, 31.69, 34.0,  2048, 4.49e-02
720, 0.38,  7.36,  2.2,    51, 9.17e-04
721, 1.22, 60.67,  1.3,   264, 1.02e-02
722, 0.40, 74.21,  2.2,    61, 3.04e-03
723, 1.87, 73.05, 12.2,    87, 1.95e-03
724, 8.31, 46.19,  1.4,  1635, 1.10e-02
725, 2.19, 20.96,  1.7,   371, 7.28e-03
726, 1.63, 35.68,  1.9,   271, 3.18e-03
727, 6.83, 15.03,  1.5,  1309, 2.13e-02
728, 3.36, 57.35, 22.1,     8, 2.12e-04
729, 8.86, 52.03, 29.5,  1382, 3.21e-02
730, 0.26, 26.62,  1.3,    61, 8.53e-04
731, 1.00, 62.55, 34.3,   224, 7.57e-03
732, 0.35, 24.25,  5.8,    41, 2.86e-03
733, 5.69, 17.44, 15.5,  1143, 1.65e-02
734, 0.10, 45.94, 11.4,     0,
735, 4.03, 16.68, 14.8,    40, 1.07e-03
736, 1.62, 24.65,  2.2,   226, 4.56e-03
737, 5.65, 66.31, 20.6,    34, 4.57e-04
738, 3.56, 45.87, 25.9,   937, 3.22e-02
739, 1.87, 36.27,  2.5,   193, 3.78e-03
740, 1.73, 54.63,  5.2,    61, 2.10e-03
741, 4.54, 27.42,  9.4,    49, 7.21e-04
742, 0.45, 25.20, 20.1,     1, 0.00e+00
743, 0.16, 62.87, 30.2,     8, 2.68e-04
744, 0.31, 32.17,  9.0,     3, 1.50e-04
745, 0.10, 51.68, 26.0,     0,
746, 6.89, 68.96, 39.5,     4, 1.30e-04
747, 4.95, 11.36, 13.2,    46, 9.58e-04
748, 7.74, 40.09,  2.7,   944, 1.03e-02
749, 1.44, 72.97,  7.1,   398, 1.22e-02
750, 1.38, 18.40,  1.7,   268, 6.16e-03
751, 1.01, 24.42,  6.9,    96, 2.13e-03
752, 0.73, 27.47, 19.6,   249, 3.59e-04
753, 4.73, 35.54,  1.4,   876, 1.85e-02
754, 0.15, 29.63, 15.5,     1, 6.99e-05
755, 6.49, 59.23, 27.0,  1433, 1.42e-02
756, 0.11, 35.71, 39.5,    18, 6.71e-04
757, 1.31, 26.02,  1.3,   256, 4.76e-03
758, 2.18, 39.86, 23.3,    44, 6.54e-04
759, 3.34,  7.84,  1.5,   677, 4.80e-03
760, 0.13, 38.63,  5.1,     1, 0.00e+00
761, 0.23,  9.26,  3.5,    25, 1.85e-03
762, 0.87, 22.12,  1.9,    97, 2.62e-03
763, 0.18,  6.70, 15.2,     0,
764, 0.46, 26.79,  5.6,    50, 4.32e-04
765, 0.63, 32.46, 25.2,     6, 2.16e-04
766, 0.60, 63.90,  2.7,   150, 4.84e-03
767, 0.96, 54.71, 33.8,     0,
768, 1.76, 59.73,  9.9,    25, 9.82e-04
769, 4.19, 57.12, 36.4,     2, 1.29e-04
770, 0.71, 23.79,  4.2,   167, 4.56e-03
771, 0.27, 20.30,  7.1,    12, 7.49e-04
772, 0.37, 39.35,  8.6,     3, 1.94e-04
773, 0.24, 36.61, 10.8,     4, 1.49e-04
774, 0.12, 52.59,  2.6,    22, 7.22e-04
775, 0.27, 31.91, 25.5,   104, 3.32e-04
776, 0.84, 37.03,  2.2,   126, 1.27e-03
777, 0.36, 11.32, 23.4,   118, 2.80e-03
778, 0.61,  7.46,  8.7,    67, 3.87e-04
779, 0.11, 11.89,  2.5,     8, 2.05e-04
780, 0.24, 35.09, 24.8,    73, 6.74e-04
781, 8.13, 32.77, 26.5,    16, 4.50e-04
782, 0.72, 43.81,  5.2,    34, 1.25e-03
783, 2.60, 43.02,  1.9,   396, 1.66e-02
784, 6.06, 53.20, 15.0,   311, 5.80e-03
785, 0.17,  7.02,  1.1,    29, 6.62e-04
786, 0.12, 22.43, 10.6,     2, 0.00e+00
787, 0.57, 28.79, 13.1,     4, 3.65e-05
788, 0.76, 32.48,  2.1,   198, 4.07e-03
789, 4.34, 31.10, 14.3,    31, 9.26e-04
790, 4.28, 33.76,  4.2,   508, 7.15e-03
791, 5.32, 22.40,  3.6,   324, 7.29e-03
792, 0.40, 63.68, 18.1,     1, 8.46e-05
793, 2.66, 60.37,  1.9,   404, 1.55e-02
794, 0.53, 51.91, 10.3,   137, 2.93e-03
795, 0.86,  5.26,  2.7,   151, 4.04e-03
796, 1.29, 53.38, 13.5,   402, 6.52e-03
797, 6.32, 30.41,  2.4,  2036, 5.38e-02
798, 0.31, 31.83,  2.3,    43, 1.56e-03
799, 1.18, 16.27, 27.5,     3, 9.81e-05
800, 0.39, 21.14, 17.7,     1, 3.55e-05
801, 0.48, 21.22,  3.1,   141, 6.65e-03
802, 5.02, 78.09,  6.0,   131, 3.50e-03
803, 1.65, 54.00,  3.8,   103, 5.25e-03
804, 0.52, 81.01, 12.1,   115, 3.90e-03
805, 7.35, 47.52,  4.7,  1005, 2.07e-02
806, 2.62, 45.41, 13.3,    20, 2.29e-04
807, 2.61, 31.70,  1.1,   730, 1.49e-02
808, 1.41, 19.43,  2.2,   187, 3.80e-03
809, 0.66, 11.38, 15.9,     5, 8.49e-05
810, 0.45, 14.76,  9.4,     6, 2.06e-04
811, 0.28, 45.74,  8.8,    54, 1.60e-03
812, 0.10, 63.72, 20.4,     2, 1.47e-04
813, 0.20,  7.33,  6.6,    60, 4.99e-04
814, 2.03, 19.63, 13.9,    10, 4.02e-04
815, 0.40, 68.55,  1.2,    98, 7.76e-04
816, 5.31, 18.86,  2.6,   631, 1.31e-02
817, 0.52, 62.48,  8.3,     7, 4.99e-04
818, 0.20, 70.71, 21.2,    37, 7.29e-04
819, 0.13, 41.45,  2.6,    15, 6.38e-04
820, 2.27, 30.80, 25.9,     2, 6.44e-05
821, 3.13, 28.84,  2.1,   409, 1.48e-02
822, 0.47, 24.05,  1.6,   103, 1.14e-03
823, 0.10, 19.69,  4.7,     5, 1.34e-04
824, 0.41, 12.92,  6.4,    10, 2.08e-04
825, 1.07, 55.22, 28.6,     1, 9.71e-05
826, 1.22, 24.96,  4.2,    50, 7.12e-04
827, 0.20, 39.57, 11.7,     1, 5.69e-05
828, 0.58, 44.80,  1.3,   134, 1.18e-03
829, 6.70, 51.43,  4.5,   297, 5.72e-03
830, 0.82, 68.31, 16.6,   256, 7.63e-03
831, 6.78, 59.61,  1.2,  1476, 9.26e-03
832, 0.79, 19.97, 21.7,     3, 1.16e-04
833, 4.49, 29.51,  1.6,   777, 2.32e-02
834, 0.22, 36.68, 15.1,    61, 2.63e-04
835, 0.31, 31.63,  4.7,    12, 9.87e-04
836, 1.40, 44.68, 20.4,   383, 1.00e-02
837, 0.23, 66.93, 14.3,     1, 9.39e-05
838, 1.32, 59.18,  3.1,   117, 2.03e-03
839, 2.19, 41.83,  7.4,    30, 1.07e-03
840, 3.14, 27.83,  1.1,   843, 3.04e-03
841, 0.44, 20.36, 33.2,     0,
842, 0.58, 43.32,  5.3,   105, 1.93e-03
843, 1.45, 29.51,  5.3,    36, 1.18e-03
844, 4.31, 31.48, 24.4,   698, 1.44e-02
845, 0.14, 16.51,  7.4,    35, 8.93e-04
846, 4.37, 44.03,  3.6,   277, 6.88e-03
847, 0.21,  7.11, 19.6,     0,
848, 1.70, 43.60, 33.9,     2, 1.33e-04
849, 0.27, 35.59,  2.8,    88, 3.31e-03
850, 4.03, 51.18,  6.2,   310, 2.39e-03
851, 3.30, 11.93, 37.7,     1, 7.13e-05
852, 0.88, 17.34,  5.3,    70, 1.29e-03
853, 3.70, 32.70,  1.6,   676, 1.11e-02
854, 0.92, 61.62, 12.4,     5, 4.83e-04
855, 0.25, 54.19,  1.2,    51, 1.02e-03
856, 0.27, 37.96,  2.4,    37, 7.16e-04
857, 0.13, 17.89,  1.8,    40, 3.82e-04
858, 2.39, 57.79,  1.5,   499, 3.92e-03
859, 6.48, 42.98, 30.2,    56, 6.15e-04
860, 0.78, 38.30, 35.8,    32, 3.75e-04
861, 7.44, 29.60,  3.5,  1656, 2.19e-02
862, 0.32, 26.81, 11.5,     1, 7.45e-06
863, 6.38, 22.04, 35.8,     3, 3.31e-04
864, 1.73, 49.02,  7.0,    32, 4.07e-04
865, 1.80, 29.31,  5.0,    97, 3.14e-03
866, 7.23, 69.37, 23.6,    20, 5.28e-04
867, 0.73, 43.69,  2.7,    66, 1.37e-03
868, 1.54, 22.97, 15.7,    32, 9.03e-04
869, 2.32, 31.75, 15.9,    31, 1.34e-03
870, 1.46, 10.23, 13.6,   395, 8.61e-04
871, 1.11, 16.16, 24.8,    67, 2.44e-03
872, 0.89, 19.57, 13.9,   102, 1.14e-03
873, 0.14,  6.12,  2.2,    43, 4.36e-04
874, 0.29, 43.53,  4.7,    24, 1.38e-03
875, 8.38, 39.11,  6.9,   161, 5.63e-03
876, 1.20, 54.44, 29.4,     2, 1.48e-04
877, 1.08, 66.54,  2.2,   306, 3.64e-03
878, 1.03, 50.50, 27.4,     0,
879, 0.41, 36.28, 35.5,    35, 7.85e-04
880, 0.23, 54.11,  1.1,    50, 1.35e-03
881, 9.95, 35.19,  2.0,  1525, 6.94e-02
882, 4.30, 57.64,  6.5,   972, 7.94e-03
883, 3.48, 60.75, 25.1,   305, 7.39e-03
884, 1.47, 37.46,  2.1,   224, 3.30e-03
885, 0.14, 34.91,  4.2,    10, 6.51e-04
886, 0.28, 68.33, 25.7,     1, 5.16e-05
887, 0.10, 35.60,  9.4,     1, 9.86e-05
888, 6.69, 42.66, 37.1,    47, 1.10e-03
889, 4.73, 68.94, 20.8,    19, 5.57e-04
890, 0.44, 52.96,  5.0,    30, 4.40e-04
891, 0.16, 42.92,  1.4,    31, 1.02e-03
892, 1.35, 20.75,  1.4,   273, 8.52e-03
893, 2.72, 20.03, 12.9,    74, 2.23e-03
894, 1.44, 68.94,  6.3,    41, 3.87e-04
895, 0.46, 25.74,  3.4,    45, 7.22e-04
896, 8.49,  5.61,  1.3,  1590, 2.22e-02
897, 0.49,  8.09,  1.9,    76, 2.42e-03
898, 7.96, 28.09,  2.6,   836, 2.32e-02
899, 0.17, 45.63,  2.0,    24, 7.64e-04
900, 2.01,  7.13,  7.3,   390, 1.11e-02
901, 0.56, 49.64, 29.3,     0,
902, 0.37, 13.56, 11.7,     1, 1.01e-05
903, 2.48, 35.04, 14.9,    18, 8.29e-04
904, 0.30, 21.53,  1.2,    56, 1.16e-03
905, 0.36, 32.16,  3.4,    26, 5.00e-04
906, 0.15, 31.33, 11.6,     0,
907, 0.95, 54.50,  2.5,    98, 2.09e-03
908, 2.08, 41.92, 17.0,   115, 1.34e-03
909, 2.42, 53.71,  1.2,   479, 1.33e-02
910, 3.01, 58.71,  2.7,   822, 1.54e-03
911, 2.81, 18.62, 15.7,    14, 5.02e-04
912, 0.44, 43.99,  4.2,    83, 1.60e-03
913, 0.10,  7.21, 17.5,     4, 1.42e-04
914, 1.06, 43.10, 13.0,    18, 1.20e-03
915, 2.15,  6.76, 33.5,   485, 1.15e-02
916, 0.80, 36.06, 35.8,     0,
917, 1.21, 10.63,  1.9,   182, 5.58e-03
918, 0.69, 45.05,  1.5,   112, 6.16e-04
919, 0.87, 59.10, 27.5,   141, 1.95e-03
920, 5.68, 44.64,  8.8,    97, 3.25e-03
921, 0.71, 28.13, 13.6,   181, 3.47e-03
922, 0.13,  7.69,  2.5,    13, 9.55e-04
923, 0.11, 17.41,  5.1,     3, 1.85e-04
924, 0.16, 27.48,  3.4,     8, 4.82e-04
925, 2.83, 10.01,  1.4,   808, 2.86e-02
926, 1.96, 35.65,  9.6,    22, 1.00e-03
927, 2.10, 15.83, 20.1,     6, 2.92e-04
928, 0.15,  8.85,  3.5,    33, 5.12e-04
929, 1.60, 25.14,  2.2,   328, 4.31e-03
930, 0.41, 35.94, 24.5,    75, 2.48e-03
931, 0.11, 22.05,  8.8,     0,
932, 0.13, 26.32,  1.5,    21, 8.51e-04
933, 1.55, 39.84, 29.3,   209, 4.02e-03
934, 1.93, 45.73,  5.1,    81, 3.31e-03
935, 1.49,  5.49,  3.6,   111, 1.53e-03
936, 2.64, 23.48, 20.8,   127, 3.95e-03
937, 2.29, 27.15,  4.2,   384, 6.88e-03
938, 1.52, 42.44, 23.4,     2, 8.15e-05
939, 0.11, 13.74, 16.8,     0,
940, 5.77, 23.49,  1.1,  1787, 1.01e-02
941, 2.68, 18.86,  5.1,    96, 2.88e-03
942, 1.50, 32.44,  2.3,   215, 6.60e-03
943, 3.37, 62.53,  2.2,   667, 7.65e-03
944, 0.13, 30.91, 33.5,    52, 1.91e-03
945, 3.59, 25.95,  1.0,  1143, 1.16e-02
946, 0.22, 37.56,  2.7,    26, 1.46e-03
947, 4.39, 18.56,  1.9,   658, 1.48e-02
948, 0.14, 47.74,  2.5,    12, 9.92e-04
949, 0.11, 36.74,  7.8,     6, 2.19e-04
950, 5.83, 34.27,  2.7,   917, 1.14e-02
951, 0.60, 53.00,  6.4,    98, 2.04e-03
952, 8.31, 26.51,  2.3,   963, 3.72e-02
953, 1.98, 55.71, 24.6,     7, 7.20e-04
954, 6.25, 13.30, 12.3,   132, 1.89e-03
955, 4.74, 76.23,  6.6,   113, 2.74e-03
956, 7.59, 30.90, 14.4,  2359, 7.56e-02
957, 2.15, 40.06,  6.2,    90, 1.72e-03
958, 0.96, 16.51,  4.7,    36, 8.00e-04
959, 2.37, 44.98,  7.5,    62, 1.54e-03
960, 1.50, 42.69, 31.2,     7, 1.73e-04
961, 2.92, 48.39,  9.4,   833, 1.89e-02
962, 4.74,  8.23,  2.5,   501, 1.36e-02
963, 0.66, 34.72,  1.1,   186, 6.83e-03
964, 1.15, 21.14,  1.7,   172, 5.10e-03
965, 0.92, 37.63,  1.1,   179, 3.71e-03
966, 0.12, 64.06,  1.4,    27, 1.39e-03
967, 0.52, 26.00,  5.7,    54, 1.88e-03
968, 0.92, 22.13,  6.8,    23, 1.17e-03
969, 4.61, 21.79,  7.0,    84, 2.00e-03
970, 0.76, 15.94,  2.0,   130, 3.16e-03
971, 3.02, 17.70,  1.7,   544, 9.17e-03
972, 8.23, 52.79,  8.8,   102, 1.55e-03
973, 5.26,  7.22,  7.2,   133, 7.05e-04
974, 5.85, 25.98,  1.4,  1126, 3.57e-02
975, 0.37, 81.48, 10.9,     7, 2.45e-04
976, 0.28, 31.61, 20.4,     0,
977, 0.43, 50.36,  4.5,   118, 3.65e-03
978, 0.22, 39.02, 36.0,     1, 9.10e-05
979, 5.17, 43.19,  2.3,   601, 1.32e-02
980, 3.77, 30.01,  1.2,   928, 1.17e-02
981, 2.23, 37.90,  2.3,   300, 1.27e-02
982, 0.66, 33.93,  4.2,   109, 1.48e-03
983, 0.82, 15.35,  1.2,   186, 4.00e-03
984, 0.12, 68.04, 38.6,     0,
985, 0.64, 25.29,  1.3,   181, 2.49e-03
986, 3.04,  9.09, 26.8,   950, 1.95e-02
987, 3.89, 24.58,  3.9,   231, 5.69e-03
988, 0.49, 44.76,  1.4,    85, 1.05e-03
989, 6.29, 46.03, 26.3,   973, 8.28e-03
990, 0.11, 39.53,  4.5,     6, 3.40e-04
991, 5.06, 31.34, 24.0,   140, 3.37e-03
992, 1.02, 42.28,  2.6,   104, 2.96e-03
993, 2.40, 49.96,  5.8,    55, 8.24e-04
994, 1.62, 57.78,  3.8,   102, 5.58e-03
995, 7.45, 59.37,  8.4,  2165, 3.15e-02
996, 0.13, 25.25,  6.1,     3, 1.42e-04
997, 9.28, 32.52,  8.9,    97, 1.15e-03
998, 0.16,  7.38, 32.2,     0,
999, 0.14, 43.19,  5.7,     5, 4.43e-04
